DATE,RELACBW027SBOG
1979-12-01,241.3993500000000000
1980-01-01,243.8562000000000000
1980-02-01,246.9455750000000000
1980-03-01,248.6595250000000000
1980-04-01,250.6556000000000000
1980-05-01,251.2902500000000000
1980-06-01,251.8540250000000000
1980-07-01,253.4991000000000000
1980-08-01,254.9291750000000000
1980-09-01,256.0552250000000000
1980-10-01,258.0737800000000000
1980-11-01,260.4430500000000000
1980-12-01,262.1786600000000000
1981-01-01,263.6987500000000000
1981-02-01,264.9665000000000000
1981-03-01,266.6551750000000000
1981-04-01,268.3698600000000000
1981-05-01,271.0068750000000000
1981-06-01,273.3573750000000000
1981-07-01,274.4130200000000000
1981-08-01,276.7852000000000000
1981-09-01,278.6484800000000000
1981-10-01,280.1025500000000000
1981-11-01,281.3663750000000000
1981-12-01,283.3896600000000000
1982-01-01,285.2528500000000000
1982-02-01,287.1429250000000000
1982-03-01,290.0891800000000000
1982-04-01,291.7353750000000000
1982-05-01,293.5832500000000000
1982-06-01,295.5332400000000000
1982-07-01,295.8678000000000000
1982-08-01,296.9316250000000000
1982-09-01,297.8937600000000000
1982-10-01,298.6344750000000000
1982-11-01,299.1785250000000000
1982-12-01,299.5325000000000000
1983-01-01,301.9065500000000000
1983-02-01,302.9526000000000000
1983-03-01,304.1801600000000000
1983-04-01,306.1758500000000000
1983-05-01,307.9520250000000000
1983-06-01,310.5131000000000000
1983-07-01,313.9172500000000000
1983-08-01,317.0590800000000000
1983-09-01,320.5972000000000000
1983-10-01,323.6433750000000000
1983-11-01,327.1148600000000000
1983-12-01,330.1968000000000000
1984-01-01,333.1271750000000000
1984-02-01,337.2375600000000000
1984-03-01,341.6552750000000000
1984-04-01,345.8364250000000000
1984-05-01,349.3792200000000000
1984-06-01,353.5087000000000000
1984-07-01,356.5801000000000000
1984-08-01,360.2939600000000000
1984-09-01,364.4139000000000000
1984-10-01,367.4042600000000000
1984-11-01,372.2161500000000000
1984-12-01,376.0595000000000000
1985-01-01,378.6239400000000000
1985-02-01,383.0340250000000000
1985-03-01,386.6490000000000000
1985-04-01,389.9584750000000000
1985-05-01,393.7145600000000000
1985-06-01,397.2885250000000000
1985-07-01,400.9343200000000000
1985-08-01,404.9769000000000000
1985-09-01,409.0819750000000000
1985-10-01,414.0050200000000000
1985-11-01,418.3537000000000000
1985-12-01,422.3678500000000000
1986-01-01,426.7575400000000000
1986-02-01,431.8595500000000000
1986-03-01,436.5002000000000000
1986-04-01,441.5403400000000000
1986-05-01,446.3106000000000000
1986-06-01,450.5410250000000000
1986-07-01,456.5536800000000000
1986-08-01,462.8019000000000000
1986-09-01,468.3197000000000000
1986-10-01,473.4473800000000000
1986-11-01,478.4559500000000000
1986-12-01,489.9674400000000000
1987-01-01,502.5931750000000000
1987-02-01,507.8627250000000000
1987-03-01,515.1183250000000000
1987-04-01,524.0889400000000000
1987-05-01,531.2512000000000000
1987-06-01,540.2592750000000000
1987-07-01,548.4610600000000000
1987-08-01,555.4042000000000000
1987-09-01,562.6476400000000000
1987-10-01,570.4065500000000000
1987-11-01,576.6924500000000000
